date,region,confirmed,deaths
2020-05-15,Vancouver (BC),2407,140
2020-05-16,Portland (Multnomah Co),979,55
2020-05-16,Seattle (King Co),7442,528
2020-05-16,Vancouver (BC),2428,141
2020-05-17,Portland (Multnomah Co),984,55
2020-05-17,Seattle (King Co),7482,529
2020-05-17,Vancouver (BC),2428,141
2020-05-18,Portland (Multnomah Co),996,55
2020-05-18,Seattle (King Co),7531,530
2020-05-18,Vancouver (BC),2444,143
2020-05-19,Portland (Multnomah Co),1005,55
2020-05-19,Seattle (King Co),7584,536
2020-05-19,Vancouver (BC),2446,146
2020-05-20,Portland (Multnomah Co),1018,57
2020-05-20,Seattle (King Co),7619,536
2020-05-20,Vancouver (BC),2467,149
2020-05-21,Portland (Multnomah Co),1026,57
2020-05-21,Seattle (King Co),7647,541
2020-05-21,Vancouver (BC),2479,152
2020-05-22,Portland (Multnomah Co),1037,58
2020-05-22,Seattle (King Co),7699,544
2020-05-22,Vancouver (BC),2507,155
2020-05-23,Portland (Multnomah Co),1037,58
2020-05-23,Seattle (King Co),7766,544
2020-05-23,Vancouver (BC),2517,157
2020-05-24,Portland (Multnomah Co),1040,58
2020-05-24,Seattle (King Co),7821,549
2020-05-24,Vancouver (BC),2517,157
2020-05-25,Portland (Multnomah Co),1045,58
2020-05-25,Seattle (King Co),7881,552
2020-05-25,Vancouver (BC),2530,161
2020-05-26,Portland (Multnomah Co),1052,58
2020-05-26,Seattle (King Co),7898,554
2020-05-26,Vancouver (BC),2541,161
2020-05-27,Portland (Multnomah Co),1093,58
2020-05-27,Seattle (King Co),7933,561
2020-05-27,Vancouver (BC),2550,162
2020-05-28,Portland (Multnomah Co),1103,59
2020-05-28,Seattle (King Co),7988,564
2020-05-28,Vancouver (BC),2558,164
2020-05-29,Portland (Multnomah Co),1121,59
2020-05-29,Seattle (King Co),8008,566
2020-05-29,Vancouver (BC),2562,164
2020-05-30,Portland (Multnomah Co),1142,59
2020-05-30,Seattle (King Co),8056,569
2020-05-30,Vancouver (BC),2573,164
2020-05-31,Portland (Multnomah Co),1165,59
2020-05-31,Seattle (King Co),8161,569
2020-05-31,Vancouver (BC),2573,164
2020-06-01,Portland (Multnomah Co),1171,59
2020-06-01,Seattle (King Co),8194,571
2020-06-01,Vancouver (BC),2597,165
2020-06-02,Portland (Multnomah Co),1181,61
2020-06-02,Seattle (King Co),8237,572
2020-06-02,Vancouver (BC),2601,165
2020-06-03,Portland (Multnomah Co),1194,62
2020-06-03,Seattle (King Co),8279,575
2020-06-03,Vancouver (BC),2623,166
2020-06-04,Portland (Multnomah Co),1224,62
2020-06-04,Seattle (King Co),8335,576
2020-06-04,Vancouver (BC),2632,166
2020-06-05,Portland (Multnomah Co),1240,63
2020-06-05,Seattle (King Co),8398,578
2020-06-05,Vancouver (BC),2632,167
2020-06-06,Portland (Multnomah Co),1268,65
2020-06-06,Seattle (King Co),8419,578
2020-06-06,Vancouver (BC),2632,167
2020-06-07,Portland (Multnomah Co),1286,65
2020-06-07,Seattle (King Co),8467,580
2020-06-07,Vancouver (BC),2632,167
2020-06-08,Portland (Multnomah Co),1302,65
2020-06-08,Seattle (King Co),8509,581
2020-06-08,Vancouver (BC),2659,167
2020-06-09,Portland (Multnomah Co),1337,66
2020-06-09,Seattle (King Co),8538,582
2020-06-09,Vancouver (BC),2669,167
2020-06-10,Portland (Multnomah Co),1369,66
2020-06-10,Seattle (King Co),8561,582
2020-06-10,Vancouver (BC),2680,167
2020-06-11,Portland (Multnomah Co),1407,66
2020-06-11,Seattle (King Co),8586,585
2020-06-11,Vancouver (BC),2694,167
