country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,city
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-29,-49,-19,20,-66,-66,27,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-30,-49,-18,5,-67,-66,27,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-01,-49,-16,26,-64,-64,27,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-02,-57,-22,-34,-61,-44,16,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-03,-48,-20,13,-60,-40,12,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-04,-46,-18,6,-65,-63,25,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-05,-42,-10,56,-63,-64,25,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-06,-48,-17,18,-64,-64,26,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-07,-45,-13,58,-63,-63,25,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-08,-46,-9,78,-61,-62,24,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-09,-50,-7,76,-50,-38,11,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-10,-41,-8,61,-54,-35,8,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-11,-47,-21,7,-65,-62,24,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-12,-46,-16,18,-64,-62,26,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-13,-45,-14,47,-62,-62,25,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-14,-47,-17,30,-64,-62,26,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-15,-46,-15,64,-61,-61,24,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-16,-55,-21,-15,-57,-38,14,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-17,-45,-19,42,-56,-33,11,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-18,-43,-18,38,-62,-60,23,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-19,-42,-15,45,-62,-61,25,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-20,-45,-16,9,-62,-61,25,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-21,-46,-16,-8,-64,-61,26,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-22,-44,-11,19,-61,-60,24,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-23,-51,-17,49,-51,-32,11,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-24,-41,-17,71,-54,-32,8,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-25,-50,-19,-1,-71,-81,27,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-26,-41,-14,56,-60,-60,23,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-27,-40,-12,103,-58,-59,22,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-28,-42,-13,74,-61,-58,23,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-29,-44,-12,83,-58,-57,22,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-30,-57,-27,-43,-53,-29,15,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-05-31,-45,-20,4,-53,-26,11,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-01,-41,-16,45,-58,-58,22,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-02,-41,-12,36,-59,-59,24,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-03,-40,-11,67,-58,-58,22,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-04,-41,-11,59,-60,-58,23,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-05,-42,-11,47,-58,-57,22,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-06,-46,-14,45,-47,-24,10,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-07,-40,-16,37,-52,-24,9,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-08,-37,-15,33,-58,-56,21,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-09,-39,-15,3,-61,-58,24,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-10,-35,-11,93,-55,-57,21,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-11,-37,-13,59,-57,-57,22,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-12,-40,-13,44,-54,-57,22,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-13,-43,-15,33,-42,-21,10,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-14,-33,-17,76,-44,-20,7,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-15,-35,-16,6,-56,-57,21,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-16,-31,-10,77,-53,-57,21,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-17,-31,-9,107,-52,-56,20,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-18,-29,-7,106,-54,-56,19,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-19,-32,-8,95,-51,-56,17,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-20,-39,-11,46,-42,-20,7,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-21,-31,-14,62,-44,-18,4,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-22,-29,-13,92,-53,-57,18,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-23,-28,-10,113,-52,-58,19,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-24,-30,-10,89,-52,-56,19,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-25,-29,-8,103,-52,-56,19,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-26,-33,-11,86,-51,-56,18,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-27,-42,-18,-1,-43,-22,8,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-28,-30,-16,52,-43,-17,6,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-29,-27,-13,63,-54,-55,18,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-06-30,-27,-11,37,-55,-56,20,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-01,-27,-8,42,-52,-56,19,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-02,-23,-2,50,-52,-57,18,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-03,-29,-1,73,-56,-70,19,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-04,-55,-18,71,-47,-33,6,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-05,-32,-22,72,-43,-22,3,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-06,-26,-11,62,-52,-58,17,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-07,-27,-10,53,-52,-58,20,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-08,-27,-9,92,-51,-56,19,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-09,-28,-10,53,-54,-56,20,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-10,-30,-9,87,-52,-55,18,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-11,-37,-15,60,-39,-19,6,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-12,-27,-15,52,-43,-19,6,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-13,-25,-11,81,-53,-56,17,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-14,-24,-8,122,-51,-57,19,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-07-15,-25,-7,132,-51,-56,18,Seattle
