city,date,total_upt
Seattle,2017-11-20T00:00:00Z,14193734
Seattle,2017-12-20T00:00:00Z,13002455
Seattle,2018-01-20T00:00:00Z,14765942
Seattle,2018-02-20T00:00:00Z,13294580
Seattle,2018-03-20T00:00:00Z,15120947
Seattle,2018-04-20T00:00:00Z,14648468
Seattle,2018-05-20T00:00:00Z,15904752
Seattle,2018-06-20T00:00:00Z,15007747
Seattle,2018-07-20T00:00:00Z,15208387
Seattle,2018-08-20T00:00:00Z,15602868
Seattle,2018-09-20T00:00:00Z,14120160
Seattle,2018-10-20T00:00:00Z,16148839
Seattle,2018-11-20T00:00:00Z,14420172
Seattle,2018-12-20T00:00:00Z,13000029
Seattle,2019-01-20T00:00:00Z,15155568
Seattle,2019-02-20T00:00:00Z,13163867
Seattle,2019-03-20T00:00:00Z,14967619
Seattle,2019-04-20T00:00:00Z,15184529
Seattle,2019-05-20T00:00:00Z,15668031
Seattle,2019-06-20T00:00:00Z,14635550
Seattle,2019-07-20T00:00:00Z,15129306
Seattle,2019-08-20T00:00:00Z,15025154
Seattle,2019-09-20T00:00:00Z,14068333
Seattle,2019-10-20T00:00:00Z,16163013
Seattle,2019-11-20T00:00:00Z,13970677
Seattle,2019-12-20T00:00:00Z,13340548
Seattle,2020-01-20T00:00:00Z,14515668
Seattle,2020-02-20T00:00:00Z,13893174
Seattle,2020-03-20T00:00:00Z,7662071
Seattle,2020-04-20T00:00:00Z,3793370
Seattle,2020-05-20T00:00:00Z,3817540
Seattle,2020-06-20T00:00:00Z,4363712
Seattle,2020-07-20T00:00:00Z,4833899
Seattle,2020-08-20T00:00:00Z,4909688
Seattle,2020-09-20T00:00:00Z,4891080
Seattle,2020-10-20T00:00:00Z,4828420
Seattle,2020-11-20T00:00:00Z,4215613
Seattle,2020-12-20T00:00:00Z,4311746
Seattle,2021-01-20T00:00:00Z,4199492
Seattle,2021-02-20T00:00:00Z,3935663
Seattle,2021-03-20T00:00:00Z,4887284
Seattle,2021-04-20T00:00:00Z,4958346
Seattle,2021-05-20T00:00:00Z,5239727
Seattle,2021-06-20T00:00:00Z,5742329
Seattle,2021-07-20T00:00:00Z,6473845
Seattle,2021-08-20T00:00:00Z,6445254
Seattle,2021-09-20T00:00:00Z,6787553
Seattle,2021-10-20T00:00:00Z,7999226
Seattle,2021-11-20T00:00:00Z,7277228
Seattle,2021-12-20T00:00:00Z,6521350
Seattle,2022-01-20T00:00:00Z,6321621
Seattle,2022-02-20T00:00:00Z,6452613
Seattle,2022-03-20T00:00:00Z,7886607
Seattle,2022-04-20T00:00:00Z,8019678
Seattle,2022-05-20T00:00:00Z,8449438
Seattle,2022-06-20T00:00:00Z,8723721
Seattle,2022-07-20T00:00:00Z,8705521
Seattle,2022-08-20T00:00:00Z,9038247
Seattle,2022-09-20T00:00:00Z,9021744
Seattle,2022-10-20T00:00:00Z,9615132
Seattle,2022-11-20T00:00:00Z,8496553
Seattle,2022-12-20T00:00:00Z,7726013
Seattle,2023-01-20T00:00:00Z,8953594
Seattle,2023-02-20T00:00:00Z,8315386
Seattle,2023-03-20T00:00:00Z,9709710
Seattle,2023-04-20T00:00:00Z,9384511
Seattle,2023-05-20T00:00:00Z,10148057
Seattle,2023-06-20T00:00:00Z,10024651
Seattle,2023-07-20T00:00:00Z,10352361
Seattle,2023-08-20T00:00:00Z,10080018
Seattle,2023-09-20T00:00:00Z,9676606
Seattle,2023-10-20T00:00:00Z,10830269
Seattle,2023-11-20T00:00:00Z,9903814
Seattle,2023-12-20T00:00:00Z,9079507
Seattle,2024-01-20T00:00:00Z,9665620
Seattle,2024-02-20T00:00:00Z,9519081
Seattle,2024-03-20T00:00:00Z,10597812
Seattle,2024-04-20T00:00:00Z,10980872
Seattle,2024-05-20T00:00:00Z,11604469
Seattle,2024-06-20T00:00:00Z,10743613
Seattle,2024-07-20T00:00:00Z,11289280
Seattle,2024-08-20T00:00:00Z,11166560
Seattle,2024-09-20T00:00:00Z,11316948
Seattle,2024-10-20T00:00:00Z,12503750
Seattle,2024-11-20T00:00:00Z,10937116
Seattle,2024-12-20T00:00:00Z,10262758
Seattle,2025-01-20T00:00:00Z,11568782
Seattle,2025-02-20T00:00:00Z,10062884
Seattle,2025-03-20T00:00:00Z,11922203
Seattle,2025-04-20T00:00:00Z,12300165
Seattle,2025-05-20T00:00:00Z,12694226
Seattle,2025-06-20T00:00:00Z,12526269
Seattle,2025-07-20T00:00:00Z,13108605
Seattle,2025-08-20T00:00:00Z,12818075
Seattle,2025-09-20T00:00:00Z,12501903
Seattle,2025-10-20T00:00:00Z,13291304
Seattle,2025-11-20T00:00:00Z,10444620
