mean,lo90,hi90,prob_ate_gt_0,Model,Treatment_Date
2.4915541655119933,1.6324505235298035,3.2788182070902483,0.99575,GAM,2020-10-01
2.118976835010503,0.9261685275903774,3.2318985260407187,0.993,BSSR,2020-10-01
2.1687277735572446,1.4555296903589348,2.8229771634389356,1,BLR,2020-11-01
2.554879412580282,1.6332133040371073,3.3034489708098964,0.99775,GAM,2020-11-01
2.4285416852898467,1.3492437965549182,3.440961412644268,0.9985,BSSR,2020-11-01
2.1636713069637388,1.4722220905474663,2.810010155547894,1,BLR,2020-12-01
2.547868573171223,1.6083259603946296,3.317469636637901,0.99725,GAM,2020-12-01
2.3963687386420798,1.3463238252786933,3.3930871816658525,0.999,BSSR,2020-12-01
2.1261207407664284,1.438961598364804,2.775496299868937,1,BLR,2021-01-01
2.5255644519897524,1.6407311045414803,3.2324457572896526,0.9975,GAM,2021-01-01
